time,irl,internet
2016-08-22T09:00:00Z,0,7
2016-08-22T10:00:00Z,0,37
2016-08-22T11:00:00Z,26,55
2016-08-22T12:00:00Z,72,104
2016-08-22T13:00:00Z,80,105
2016-08-22T14:00:00Z,80,113
2016-08-22T16:00:00Z,80,134
2016-08-22T17:00:00Z,80,172
2016-08-22T18:00:00Z,80,207
2016-08-22T19:00:00Z,80,239
2016-08-22T20:00:00Z,80,242
2016-08-23T02:00:00Z,29,20
2016-08-23T03:00:00Z,60,65
2016-08-23T04:00:00Z,155,103
2016-08-23T05:00:00Z,186,155
2016-08-23T06:00:00Z,243,157
2016-08-23T07:00:00Z,286,162
2016-08-23T08:00:00Z,286,164
2016-08-23T10:00:00Z,286,165
2016-08-23T13:00:00Z,286,166
2016-08-23T23:00:00Z,288,166
2016-08-24T00:00:00Z,288,167
2016-08-24T01:00:00Z,288,172
2016-08-24T03:00:00Z,288,178
2016-08-24T04:00:00Z,290,181
2016-08-24T06:00:00Z,290,198
2016-08-24T07:00:00Z,291,388
2016-08-24T08:00:00Z,297,394
2016-08-25T00:00:00Z,308,401
2016-08-25T01:00:00Z,320,404
2016-08-25T02:00:00Z,349,437
2016-08-25T03:00:00Z,376,440
2016-08-25T04:00:00Z,388,452
2016-08-25T05:00:00Z,477,478
2016-08-25T06:00:00Z,1145,1094
2016-08-25T07:00:00Z,1294,1285
2016-08-25T08:00:00Z,1311,1332
2016-08-25T09:00:00Z,1471,1438
2016-08-25T10:00:00Z,2594,3025
2016-08-25T11:00:00Z,3396,3137
2016-08-25T12:00:00Z,3396,3155
